day,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5
2011-11-23,0.08157490983754513,0.0,0.0,0.0,0.0,0.0
2011-11-24,0.1899981948555957,0.0010251021599532984,0.0,0.0005875064532782653,0.0,0.0
2011-11-25,0.27092328510830316,0.001884413309982487,0.0,0.00030046463603510584,0.0,0.0
2011-11-26,0.3782590249999999,0.0007752481027437244,0.0,0.00027723283427981416,0.0,0.0
2011-11-27,0.3981768958483755,0.0013590192644483362,0.0,0.0007098606091894683,0.0,0.0
2011-11-28,0.4443646207581229,0.0017577349678925861,0.0,0.002745998967475478,0.0,0.0
2011-11-29,0.5159963903429603,0.00188733216579101,0.0,0.004832214765100671,0.0,0.0
2011-11-30,0.5954512635379061,0.0008400467016929364,0.0,0.004454310789881259,0.0,0.0
2011-12-01,0.7545731051444046,0.0015248102743724461,0.0,0.0053020134228187925,0.0,0.0
2011-12-02,0.9078203975631772,0.0006561587857559837,0.0,0.00392462570986061,0.0,0.0
2011-12-03,1.0609837546931409,0.000817863397548161,0.0,0.004573567372225091,0.0,0.0
2011-12-04,1.1955830326714803,0.0014681844716870987,0.0,0.005535880227155394,0.0,0.0
2011-12-05,1.197463899277978,0.0008914185639229421,0.0,0.004391843056272587,0.0,0.0
2011-12-06,1.3771128158844768,0.0025061295971978985,0.0,0.005553433144037171,0.0,0.0
2011-12-07,1.4787725636281586,0.0043917104495037945,0.0,0.0047392875580795045,0.0,0.0
2011-12-08,1.720518050270758,0.0049509632224168125,0.0,0.005103252452245741,0.0,0.0
2011-12-09,1.9379377253610097,0.005593695271453591,0.0,0.003610221992772328,0.0,0.0
2011-12-10,2.2764638984657033,0.004914185639229422,0.0,0.004467733608673206,0.0,0.0
2011-12-11,2.4789666079422386,0.0048995913601868075,0.0,0.004386164171399071,0.0,0.0
2011-12-12,2.315069494404332,0.00458727378867484,0.0,0.004474961280330408,0.0,0.0
2011-12-13,2.4000460290613717,0.0048984238178633975,0.0,0.005589055240061952,0.0,0.0
2011-12-14,2.5778131770758126,0.005831873905429072,0.0,0.004603510583376355,0.0,0.0
2011-12-15,2.829946752075813,0.00781669591360187,0.0,0.005072276716572018,0.0,0.0
2011-12-16,3.1418844739169685,0.00882661996497373,0.0,0.004235931853381517,0.0,0.0
2011-12-17,3.3953889883573996,0.006892586106246352,0.0,0.00488022715539494,0.0,0.0
2011-12-18,3.699211191064982,0.008574430823117339,0.0,0.006,0.0,0.0
2011-12-19,3.8275550552346536,0.009148861646234678,0.0,0.006960764068146619,0.0,0.0
2011-12-20,3.749691333754512,0.008682428488032691,0.0,0.006073825503355705,0.0,0.0
2011-12-21,3.80533303185921,0.008105662580268536,0.0,0.004985544656685596,0.0,0.0
2011-12-22,3.9020992767148073,0.007597781669585523,0.0,0.004398554465668559,0.0,0.0
2011-12-23,4.16212816001805,0.00787098657326328,0.0,0.0037506453278265363,0.0,0.0
2011-12-24,4.43924999954874,0.0068184471687098664,0.0,0.0042958182756840475,0.0,0.0
2011-12-25,4.397296930054156,0.008493286631640397,0.0,0.0041972121837893644,0.0,0.0
2011-12-26,3.755565885288811,0.007483946293053124,0.0,0.004543624161073826,0.0,0.0
2011-12-27,3.9014801444043297,0.007949795680093404,0.0,0.004455859576664945,0.0,0.0
2011-12-28,4.0964449444043325,0.00851138353765324,0.0,0.0049266907589055236,0.0,0.0
2011-12-29,4.385313176263538,0.007293053123175716,0.0,0.005595250387196696,0.0,0.0
2011-12-30,4.576008123916967,0.008370694687682428,0.0,0.00700774393391843,0.0,0.0
2011-12-31,4.58012906037906,0.007524226503210742,0.0,0.012149199793495095,0.0,0.0
2012-01-01,4.592125450631765,0.007677758318739055,0.0,0.011568404749612803,0.0,0.0
2012-01-02,4.699861010379062,0.0076835960303561004,0.0,0.01114713474445018,0.0,0.0
2012-01-03,4.773691335469312,0.007871570344424986,0.0,0.012533298915849252,0.0,0.0
2012-01-04,4.798344765703969,0.007380035026269703,0.0,0.011394424367578728,0.0,0.0
2012-01-05,4.842240974638993,0.008193228254524227,0.0,0.01538616417139907,0.0,0.0
2012-01-06,4.830074910920578,0.00723525977816696,0.0,0.008406298347960764,0.0,0.0
2012-01-07,4.860657042238268,0.007423234092235844,0.0,0.007346928239545689,0.0,0.0
2012-01-08,5.084840251173285,0.007975481611208406,0.0,0.00963397005678885,0.0,0.0
2012-01-09,4.7336850174187735,0.008246935201401052,0.0,0.016415074858027876,0.0,0.0
2012-01-10,4.5934043292418805,0.010102159953298306,0.0,0.015990191017036654,0.0,0.0
2012-01-11,4.589932310920575,0.014524226503210745,0.0,0.015184821941146101,0.0,0.0
2012-01-12,4.678497292238261,0.013719789842381787,0.0,0.013105317501290655,0.0,0.0
2012-01-13,4.892766243501807,0.01099124343257443,0.0,0.010278265410428498,0.0,0.0
2012-01-14,5.310222924729244,0.010150029188558085,0.0,0.012266907589055239,0.0,0.0
2012-01-15,5.611082127436822,0.015453006421482778,0.0,0.011093959783169849,0.0,0.0
2012-01-16,5.208694043682312,0.01323409223584355,0.0,0.019859060454310788,0.0,0.0
2012-01-17,5.319515342689528,0.0150128429655575,0.0,0.019192049561177076,0.0,0.0
2012-01-18,5.185641697563179,0.01730998248686515,0.0,0.015982447031491997,0.0,0.0
2012-01-19,5.085780684566784,0.016181552831290132,0.0,0.016894682447083118,0.0,0.0
2012-01-20,5.492845666787007,0.016159953298307064,0.0,0.011408363500258131,0.0,0.0
2012-01-21,5.629793321209388,0.012948628137769995,0.0,0.009631388745482704,0.0,0.0
